satellite,instrument,mission,date,downlink_date,path,width,height,bytes,brightness,contrast,status,capture_start,capture_end,time_basis,iso,shutter,exposure_mode,capture_confidence,sha256
KASHIWA,CAM,,2024-06-29,2024-07-06,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_21203cd515.jpg,640.0,480.0,31964,131.52,48.25,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,21203cd515908b58d36ff4befafaa3435e214ee47ebacc37d4f99ee3f8448de1
KASHIWA,CAM,,2024-06-29,2024-07-06,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_3a78a17034.jpg,640.0,480.0,17934,126.09,36.87,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,3a78a17034571ffbddaf7ae5ec51c0693f78542a9642d4b1a7708e2b61aaee37
KASHIWA,CAM,,2024-06-29,2024-07-06,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_6c11754088.jpg,640.0,480.0,17995,126.03,36.93,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,6c117540888a59d07cca58a4f43e1e15a498da07c3e1ffec4f80fb268eea0291
KASHIWA,CAM,,2024-06-29,2024-07-06,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_6cf47e58ed.jpg,640.0,480.0,20191,124.96,40.61,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,6cf47e58edfbcaf7861d4fb67dbb5b4106082bed35c2607f7e4e9c2816cd873f
KASHIWA,CAM,,2024-06-29,2024-07-06,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_7afd838f14.jpg,640.0,480.0,18056,125.98,36.97,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,7afd838f1496f78a6a5651038662f445f725d77b3927dd23e3b7f05c5fa08f81
KASHIWA,CAM,,2024-06-29,2024-07-06,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_81d6a6f93b.jpg,640.0,480.0,24583,130.26,46.28,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,81d6a6f93b27356da5a15b1da1730ab75f0978b12910320db3ff6da5b09016db
KASHIWA,CAM,,2024-06-29,2024-07-06,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_859980c1ff.jpg,640.0,480.0,15616,124.96,35.52,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,859980c1fff4ee7f6e8246613928c216a27ed25296a1ed8bc469591ce0ec3398
KASHIWA,CAM,,2024-06-29,2024-07-06,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_ab46450af8.jpg,640.0,480.0,18239,125.72,37.24,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,ab46450af8a438b36a267a2341803ca8651594cfddd67ce665700d1b1eb53942
KASHIWA,CAM,,2024-06-29,2024-07-06,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_f291a0a5c5.jpg,640.0,480.0,17568,125.82,36.49,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,f291a0a5c5ca655ac77cbb42717ae5fcca46696a1a8257fa9b59dfdd5de624af
KASHIWA,CAM,,2024-06-29,2024-07-07,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_1617bd3f01.jpg,640.0,480.0,83509,103.6,81.43,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,1617bd3f01424aec5e52a4ef58515fec637573e2036cbbd6ea2ce8fd8f2b726e
KASHIWA,CAM,,2024-06-29,2024-07-07,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_2275e2c464.jpg,640.0,480.0,83509,99.92,81.87,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,2275e2c4649602ac095a1058c84345efaeba1f53d9239637b4649713052d7e29
KASHIWA,CAM,,2024-06-29,2024-07-07,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_7e7aa5a80d.jpg,640.0,480.0,75030,104.11,78.77,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,7e7aa5a80d354180c33aa826e58f7b37fa5f7a297df6b641cdb909ee2e5485c3
KASHIWA,CAM,,2024-06-29,2024-07-08,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_3c4512b628.jpg,640.0,480.0,87768,99.68,82.06,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,3c4512b628b5ae9893d86517ea113c58386c64b9d42e2b5b4289f571b7ee0f50
KASHIWA,CAM,,2024-07-09,2024-07-11,data/downlink/01_kashiwa/images/cam/kashiwa_20240709T2126_4fae163c97.jpg,640.0,480.0,3111,126.63,14.22,ok,2024-07-09T21:26:00+09:00,2024-07-09T21:29:00+09:00,uplink+timer,,,preset-night,medium,4fae163c9780c1b72852af18e30a2ac28b2baa3971333750e502fa073b004634
KASHIWA,CAM,,2024-07-09,2024-07-11,data/downlink/01_kashiwa/images/cam/kashiwa_20240709T2126_52b2d9d0a5.jpg,640.0,480.0,15555,124.54,38.74,ok,2024-07-09T21:26:00+09:00,2024-07-09T21:29:00+09:00,uplink+timer,,,preset-night,medium,52b2d9d0a59504ed5a2d36db285ce5460bf81655bd24890c50db35e3a5eebd2f
KASHIWA,CAM,,2024-07-09,2024-07-11,data/downlink/01_kashiwa/images/cam/kashiwa_20240709T2126_e298d91c8d.jpg,640.0,480.0,47397,121.84,61.1,ok,2024-07-09T21:26:00+09:00,2024-07-09T21:29:00+09:00,uplink+timer,,,preset-night,medium,e298d91c8d8039857b5f12154a2818cab98e4850f618410de1b7612e061a3dad
KASHIWA,CAM,,2024-07-09,2024-07-13,data/downlink/01_kashiwa/images/cam/kashiwa_20240709T2126_1a417f5b7b.jpg,640.0,480.0,19093,118.5,45.81,ok,2024-07-09T21:26:00+09:00,2024-07-09T21:29:00+09:00,uplink+timer,,,preset-night,medium,1a417f5b7b77b790c8a12c90e6d90bfd13b159af6aa5852a92cbe7f59c9811e6
KASHIWA,CAM,,2024-07-09,2024-07-13,data/downlink/01_kashiwa/images/cam/kashiwa_20240709T2126_ad7b6f96d0.jpg,640.0,480.0,31476,109.69,52.82,ok,2024-07-09T21:26:00+09:00,2024-07-09T21:29:00+09:00,uplink+timer,,,preset-night,medium,ad7b6f96d09de20d52ef0bbb617392e8bdd3f98dbcedd6909516b8874c2b47f8
KASHIWA,CAM,,2024-07-09,2024-07-14,data/downlink/01_kashiwa/images/cam/kashiwa_20240709T2126_46b376b0eb.jpg,640.0,480.0,71492,53.45,64.34,ok,2024-07-09T21:26:00+09:00,2024-07-09T21:29:00+09:00,uplink+timer,,,preset-night,medium,46b376b0eb87b9a93a49e3cd2d5d8c2809f02e49d57ffc95865e1044b1aca55f
KASHIWA,CAM,,2024-07-09,2024-07-14,data/downlink/01_kashiwa/images/cam/kashiwa_20240709T2126_71b6ccb10f.jpg,640.0,480.0,74359,73.27,69.41,ok,2024-07-09T21:26:00+09:00,2024-07-09T21:29:00+09:00,uplink+timer,,,preset-night,medium,71b6ccb10fc871f697933545ed0413e9808a67c01f633ac8c0de7f07e503c936
KASHIWA,CAM,,2024-07-09,2024-07-14,data/downlink/01_kashiwa/images/cam/kashiwa_20240709T2126_acf6f5185a.jpg,640.0,480.0,43127,92.93,60.63,ok,2024-07-09T21:26:00+09:00,2024-07-09T21:29:00+09:00,uplink+timer,,,preset-night,medium,acf6f5185a0f40857dc43630b89d00a9984f4aa0d4a5213d5155b0a1d5b8b52a
KASHIWA,CAM,,2024-07-09,2024-07-14,data/downlink/01_kashiwa/images/cam/kashiwa_20240709T2126_e6645b0e7f.jpg,640.0,480.0,39162,98.59,58.75,ok,2024-07-09T21:26:00+09:00,2024-07-09T21:29:00+09:00,uplink+timer,,,preset-night,medium,e6645b0e7ffe98adbb66cd207877c449829f7fd2479a95bc662c62e65a1bf1e0
KASHIWA,CAM,,2024-07-14,2024-07-15,data/downlink/01_kashiwa/images/cam/kashiwa_20240714T2140_88b7843bd0.jpg,640.0,480.0,32940,7.12,26.36,dark,2024-07-14T21:40:00+09:00,2024-07-14T21:43:00+09:00,uplink+timer,,,preset-night,high,88b7843bd0918a04902e907a116fe6f06052f5e18a4b607abb5b7893a89e66c4
KASHIWA,CAM,,2024-07-14,2024-07-15,data/downlink/01_kashiwa/images/cam/kashiwa_20240714T2140_a2a0555326.jpg,640.0,480.0,28731,41.51,57.8,ok,2024-07-14T21:40:00+09:00,2024-07-14T21:43:00+09:00,uplink+timer,,,preset-night,high,a2a0555326d387c08c8415f936dd1c0e921aeccdcb09be04c5c17496b26015c0
KASHIWA,CAM,,2024-07-14,2024-07-15,data/downlink/01_kashiwa/images/cam/kashiwa_20240714T2140_c2a58e7bd6.jpg,,,121,,,unreadable,2024-07-14T21:40:00+09:00,2024-07-14T21:43:00+09:00,uplink+timer,,,preset-night,high,c2a58e7bd64b9dae10776642b727ab28c11559a6a1af9aa8b19e390f80d2a99d
KASHIWA,CAM,,2024-07-16,2024-07-16,data/downlink/01_kashiwa/images/cam/kashiwa_20240716T0113_a54ff6fa7f.jpg,640.0,480.0,13908,63.33,53.81,ok,2024-07-16T01:13:00+09:00,2024-07-16T01:16:00+09:00,uplink+timer,,,preset-night,high,a54ff6fa7f386d9fde6eef0ea0106e065700c14c9ea470f707fcb895a063fdf6
KASHIWA,CAM,,2024-07-16,2024-07-17,data/downlink/01_kashiwa/images/cam/kashiwa_20240716T2221_1e553be831.jpg,640.0,480.0,30317,2.27,3.76,dark,2024-07-16T22:21:00+09:00,2024-07-16T22:26:00+09:00,uplink+timer,,,preset-night,high,1e553be831c434e8f7c171edefa9c6bbe4e2307fe76921f3f729d43b0c0e3d02
KASHIWA,CAM,,2024-07-16,2024-07-17,data/downlink/01_kashiwa/images/cam/kashiwa_20240716T2221_b6caeebedb.jpg,640.0,480.0,27999,24.02,31.86,ok,2024-07-16T22:21:00+09:00,2024-07-16T22:26:00+09:00,uplink+timer,,,preset-night,high,b6caeebedbbd45c46f970d09a89fd300e1f2ea0591ddab94b20a8f66a8bd57e3
KASHIWA,CAM,,2024-07-18,2024-07-18,data/downlink/01_kashiwa/images/cam/kashiwa_20240718T1501_2b16114f89.jpg,640.0,480.0,4453,119.65,31.57,ok,2024-07-18T15:01:00+09:00,2024-07-18T15:04:00+09:00,uplink+timer,,,preset-day,high,2b16114f897be8947c7b51cb66c8deb98197c22d7e87b0da855822f8a4d17153
KASHIWA,CAM,,2024-07-18,2024-07-20,data/downlink/01_kashiwa/images/cam/kashiwa_20240718T1501_9b1d23b5c2.jpg,640.0,480.0,49593,79.19,65.54,ok,2024-07-18T15:01:00+09:00,2024-07-18T15:04:00+09:00,uplink+timer,,,preset-day,high,9b1d23b5c26417992bc55e8eddc9f07244fbba936a18fe3aaa40e9edf2645b5e
KASHIWA,CAM,,2024-07-18,2024-07-20,data/downlink/01_kashiwa/images/cam/kashiwa_20240718T1501_d62b20ce39.jpg,640.0,480.0,54046,114.9,90.53,ok,2024-07-18T15:01:00+09:00,2024-07-18T15:04:00+09:00,uplink+timer,,,preset-day,high,d62b20ce39810f4b0258701af88a812c092cd8713e491bd37d59d101bd649fd2
KASHIWA,CAM,,2024-07-18,2024-07-20,data/downlink/01_kashiwa/images/cam/kashiwa_20240718T1501_ddca4b0f44.jpg,640.0,480.0,53558,109.98,90.87,ok,2024-07-18T15:01:00+09:00,2024-07-18T15:04:00+09:00,uplink+timer,,,preset-day,high,ddca4b0f445ad07b23efb7f4d1ebf25085e7e0287be315b4d831508d7be4506e
